"School Name","School URL","School Teams","Errors"
"Capitol Debate (MD)","https://hspf17.debatecoaches.org//Capitol/","[]","No debaters listed"
"Carmel Valley Independent (CA)","https://hspf17.debatecoaches.org//Canyon%20Crest/","['Canyon Crest Saikumar Gantla - Warren Chang', 'Canyon Crest Reva Agashe - Natalia Zorrilla']",""
"Carrollton (GA)","https://hspf17.debatecoaches.org//Carrollton%20GA/","[]","No debaters listed"
"Carrollton Sacred Heart (FL)","https://hspf17.debatecoaches.org//Carrollton%20Sacred%20Heart/","[]","No debaters listed"
"Casady (OK)","https://hspf17.debatecoaches.org//Casady/","[]","No debaters listed"
"Cascia Hall (OK)","https://hspf17.debatecoaches.org//Cascia%20Hall/","[]","No debaters listed"
"Cathedral Prep (PA)","https://hspf17.debatecoaches.org//Cathedral%20Prep/","[]","No debaters listed"
"Cedar Rapids Wash. (IA)","https://hspf17.debatecoaches.org//Cedar%20Rapids%20Washington/","[]","No debaters listed"
"Cedar Ridge (TX)","https://hspf17.debatecoaches.org//Cedar%20Ridge/","[]","No debaters listed"
"Centennial (ID)","https://hspf17.debatecoaches.org//Centennial%20ID/","[]","No debaters listed"
"Centennial (MD)","https://hspf17.debatecoaches.org//Centennial%20MD/","['Centennial MD Katie Gao - Polly Moser']",""
"Chamblee Charter (GA)","https://hspf17.debatecoaches.org//Chamblee%20Charter/","[]","No debaters listed"
"Chaminade Prep (CA)","https://hspf17.debatecoaches.org//Chaminade/","[]","No debaters listed"
"Chandler (AZ)","https://hspf17.debatecoaches.org//Chandler/","[]","No debaters listed"
"Chandler Prep (AZ)","https://hspf17.debatecoaches.org//Chandler%20Prep/","[]","No debaters listed"
"Charles Page (OK)","https://hspf17.debatecoaches.org//Charles%20Page/","[]","No debaters listed"
"Charlestown (MA)","https://hspf17.debatecoaches.org//Charlestown/","[]","No debaters listed"
"Charlotte Catholic (NC)","https://hspf17.debatecoaches.org//Charlotte%20Catholic/","[]","No debaters listed"
"Charlotte Latin (NC)","https://hspf17.debatecoaches.org//Charlotte%20Latin/","[]","No debaters listed"
"Chattahoochee (GA)","https://hspf17.debatecoaches.org//Chattahoochee/","[]","No debaters listed"
"Cherokee (OK)","https://hspf17.debatecoaches.org//Cherokee/","[]","No debaters listed"
"Cherry Creek (CO)","https://hspf17.debatecoaches.org//Cherry%20Creek/","[]","No debaters listed"
"Chesterton (IN)","https://hspf17.debatecoaches.org//Chesterton/","[]","No debaters listed"
"Churchill (MD)","https://hspf17.debatecoaches.org//Churchill/","['Churchill Adlee Heshmat - Alexander Velikanov']",""
"CK McClatchy (CA)","https://hspf17.debatecoaches.org//CK%20McClatchy/","[]","No debaters listed"
"Clackamas (OR)","https://hspf17.debatecoaches.org//Clackamas/","[]","No debaters listed"
"Claremont (CA)","https://hspf17.debatecoaches.org//Claremont/","[]","No debaters listed"
"Clark (TX)","https://hspf17.debatecoaches.org//Clark/","['Clark Walter Stark - Ritvik Mahendra']",""
"Classical Academy (CA)","https://hspf17.debatecoaches.org//Classical%20Academy/","[]","No debaters listed"
"Classical Davies (RI)","https://hspf17.debatecoaches.org//Classical%20Davies/","[]","No debaters listed"
"Classical Independent (CA)","https://hspf17.debatecoaches.org//Classical%20Independent/","[]","No debaters listed"
"Clear Brook (TX)","https://hspf17.debatecoaches.org//Clear%20Brook/","[]","No debaters listed"
"Clear Lake (TX)","https://hspf17.debatecoaches.org//Clear%20Lake/","[]","No debaters listed"
"Clements (TX)","https://hspf17.debatecoaches.org//Clements/","['Clements Kenneth Lin - Ani Thakur', 'Clements Nilay Gandhi - Saahil Kalvakuntla']",""
"Clifton (TX)","https://hspf17.debatecoaches.org//Clifton/","[]","No debaters listed"
"Clovis North (CA)","https://hspf17.debatecoaches.org//Clovis%20North/","[]","No debaters listed"
"College Prep (CA)","https://hspf17.debatecoaches.org//College%20Prep/","['College Prep Benjamin Park - David Wornow', 'College Prep Brant Haugh - Ilan Nurko', 'College Prep Ana Bittner - Walter Guo']",""
"Colleyville Heritage (TX)","https://hspf17.debatecoaches.org//Colleyville%20Heritage/","['Colleyville Heritage Will Watson - Raheena Ali', 'Colleyville Heritage Anisha Navendra - Joanna Wang', 'Colleyville Heritage Nicole Radandt - Katie Collins', 'Colleyville Heritage Colin Wei - Daniel Li']",""
"Columbus (GA)","https://hspf17.debatecoaches.org//Columbus/","[]","No debaters listed"
"Coppell (TX)","https://hspf17.debatecoaches.org//Coppell/","[]","No debaters listed"
"Copper Hills (UT)","https://hspf17.debatecoaches.org//Copper%20Hills/","[]","No debaters listed"
"Corona Del Sol (AZ)","https://hspf17.debatecoaches.org//Corona%20Del%20Sol/","['Corona Del Sol Ryan Jiang - Collin Frazey']",""
"Coronado (NV)","https://hspf17.debatecoaches.org//Coronado/","[]","No debaters listed"
